#{"t_start": 1620543573.9968746, "env_id": "binary_ctrl-narrow-v0"}
r,l,t
21.0,690,18.501563
0.0,1,18.517126
48.0,245,25.269907
9.0,292,33.264909
15.0,188,39.738148
79.0,233,45.464935
0.0,1,45.483312
4.0,163,51.704268
0.0,1,51.725292
-3.0,231,57.71581
13.0,223,64.919499
3.0,56,67.583452
56.0,212,73.259533
60.0,212,80.589267
47.0,212,87.990824
63.0,236,94.364787
58.0,225,101.944933
44.0,235,109.74218
8.0,214,117.376392
58.0,220,125.004124
14.0,129,130.693662
67.0,232,139.557448
0.0,1,139.577514
3.0,170,146.139647
72.0,233,152.625284
58.0,195,159.683337
36.0,153,164.563552
-19.0,206,171.823457
53.0,239,179.646127
67.0,212,185.571423
63.0,238,193.41524
3.0,128,197.351043
51.0,223,204.817302
68.0,222,212.10818
44.0,253,219.994532
9.0,44,220.845327
56.0,215,227.912592
62.0,226,233.569695
56.0,211,240.161328
64.0,238,247.222205
77.0,821,269.911521
0.0,1,269.921935
54.0,233,276.870687
70.0,224,283.616307
47.0,241,290.76727
50.0,252,298.10747
55.0,234,304.946534
39.0,770,327.058504
73.0,221,332.74389
31.0,864,359.381799
65.0,618,378.399425
54.0,379,389.93183
-7.0,984,419.248941
58.0,208,424.331573
71.0,237,431.50931
