#{"t_start": 1620543574.2256906, "env_id": "binary_ctrl-narrow-v0"}
r,l,t
24.0,884,22.679008
66.0,224,29.547567
39.0,183,35.757992
0.0,140,39.784708
0.0,1,39.805542
25.0,175,44.431887
0.0,1,44.454425
0.0,1,44.469225
56.0,235,52.102134
55.0,378,63.782513
41.0,241,71.601492
39.0,215,77.446523
4.0,184,84.306454
43.0,231,92.03673
55.0,230,98.284708
5.0,36,100.446246
15.0,215,106.278375
49.0,217,113.853966
1.0,1,113.886207
0.0,1,113.905739
0.0,151,118.738246
9.0,25,121.168635
9.0,177,128.424309
54.0,233,137.783771
53.0,209,143.726636
33.0,241,151.829005
37.0,221,159.451993
0.0,1,159.478667
64.0,241,167.658601
0.0,1,167.674647
-1.0,185,173.001359
0.0,1,173.014817
30.0,143,177.421999
0.0,1,177.445598
70.0,222,185.034112
60.0,231,192.755765
6.0,1,192.771064
24.0,219,199.990709
3.0,147,204.457822
-13.0,218,211.692862
52.0,211,217.222932
73.0,206,224.167086
10.0,131,228.177586
-9.0,978,255.641207
0.0,1,255.658876
53.0,248,262.730673
17.0,31,264.688987
6.0,835,287.675568
0.0,1,287.69314
37.0,814,311.827528
58.0,590,328.17671
56.0,237,335.705961
46.0,241,343.277834
45.0,371,354.583716
83.0,607,373.726879
53.0,670,393.414799
-14.0,851,417.25285
40.0,225,424.115043
0.0,1,424.130374
7.0,27,424.598148
